tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
"“If you’re into cute robots dancing on a moving vehicle and speeding through the desert, I got you.” Check out the… https://t.co/TPZSuBVhEP",2020-07-31 09:05:00+08:00,13,73,[],no_media,[],True,False
🔴 [LIVE]: #B7 is coming and @4everBrandy's listening party is starting now → https://t.co/4Y7HHzHosR https://t.co/z53UbwqJJ4,2020-07-31 08:00:00+08:00,124,345,['B7'],photo,['4everBrandy'],True,False
"New @billieeilish. That's the tweet.
Check out her new single #myfuture now → https://t.co/txk3zurskW https://t.co/0R25fG43lg",2020-07-31 07:01:34+08:00,19,91,['myfuture'],photo,['billieeilish'],True,False
From the Vault: #Lolla2020 is just getting started. Kick it off with @runjewels’ legendary performance from 2017 →… https://t.co/Wt9CJfxr9a,2020-07-31 06:04:00+08:00,2,30,['Lolla2020'],no_media,['runjewels'],True,False
Remember festivals? Us too. We’re bringing @Lollapalooza #Lolla2020 straight to your living room all weekend long.… https://t.co/a27maZzhMT,2020-07-31 05:50:30+08:00,8,39,['Lolla2020'],no_media,['lollapalooza'],True,False
"Forecast is for clear skies ☀️, 0% chance of rain where we're sitting 📺. Which classic sets are you most excited to… https://t.co/V9g8abhQLn",2020-07-31 05:17:23+08:00,4,28,[],no_media,[],True,False
@YouTubeBrasil 🙌🙌🙌,2020-07-31 03:31:53+08:00,0,5,[],no_media,['YouTubeBrasil'],False,False
"Introducing new artists from 🇦🇺 to the 🌍

Tune in for weekly #YouTubeMusicSessions x @ARIA_Official, featuring… https://t.co/SHYiM2Qy3h",2020-07-30 10:00:01+08:00,34,401,['YouTubeMusicSessions'],no_media,['ARIA_Official'],True,False
@NowUnitedMusic 🙏❤️,2020-07-30 08:44:45+08:00,0,0,[],no_media,['NowUnitedMusic'],False,False
"RT @NowUnitedMusic: The Billion View Mashup 🚨OUT NOW🚨!
https://t.co/OvNAHxzB4g
1 BILLION VIEWS. Thank you Uniters for watching, listening,…",2020-07-30 08:44:18+08:00,144,0,[],no_media,['NowUnitedMusic'],True,False
"Directed by @IAMLenaHeadey and starring @Maisie_Williams, the latest visual from @Madeon is here and it's stunning.… https://t.co/PiuZN6RM1y",2020-07-30 07:00:00+08:00,100,524,[],no_media,['IAMLenaHeadey'],True,False
