tweet_content,created_at,retweet_count,favorite_count
"☪️配信開始☪️

NEW RELEASE🚀

""material girl"" by @ISH_ONE 
prod.@TEAM2MVCH 

https://t.co/rGALnNLaQA

@AppleMusicJapan… https://t.co/QI5NiTCWco",2021-10-19 23:02:17+08:00,12,18
"Music Week and @youtubemusic presents Young, Gifted and Black: Women In Music hosted by @ColleenLHarris and… https://t.co/9MamH08g16",2021-10-28 18:51:07+08:00,8,14
So happy to be part of the #YouTubeBlack Voices Music Class 💙✨Check out my video on @youtubemusic’s #YouTubeBlack V… https://t.co/qy8WFK5rkI,2021-10-22 00:48:50+08:00,20,168
"@_saulrea_ @taylorswift13 @ARIA_Official @youtubemusic Hey, Saul! 👋😉 #ARIAsTaylorSwift",2021-10-21 05:11:27+08:00,155,353
Let It Be Super Deluxe is available on @YouTubeMusic. Add the album to your library today! #LetItBe… https://t.co/tCVO6FaS2t,2021-10-21 02:20:00+08:00,167,1332
"The Beachland Ballroom Pt.2

https://t.co/oDCgV2ABFv

@partisanrecords @stinkfilms @kennybeats @youtubemusic https://t.co/NfYaWqNeTV",2021-10-21 01:33:34+08:00,107,893
Super proud to be part of #YoutubeBlack Voices Class of 2022!! Another step in this blessed journey! Thank you… https://t.co/Zp9kHeUx3P,2021-10-22 01:42:51+08:00,336,2719
I’m excited to be part of the #YouTubeBlack Voices Music Class along with 31 other dope artists! Thank you… https://t.co/1gXpU8Lo85,2021-10-22 00:59:35+08:00,169,864
"Poeta que não aquieta, tem coração que bate, o meu dá pirueta.faço agora parte da turma de música do Fundo Vozes Ne… https://t.co/VVjEIRu5gu",2021-10-22 02:42:01+08:00,43,280
I’m so honoured to be chosen as part of the #YoutubeBlack Voices Music Class of 2022! 💫 So excited to bring you guy… https://t.co/hAYNNNrlCw,2021-10-22 02:21:17+08:00,44,315
Shout out @youtubemusic for making us apart of the #YouTubeBlack Voices class of 2022 #AreaBoyzGoingGlobal https://t.co/3T11yp8lVb,2021-10-22 03:15:00+08:00,42,221
"So thankful to be a part of @youtubemusic ‘s #YouTubeBlack Voices Music Class of 2022 :) 

Subscribe to my channel… https://t.co/MPdc2tSl0f",2021-10-22 00:31:07+08:00,25,178
"Mannnn 🥺, I’m so proud to announce I’ve been chosen to be part of @youtubemusic’s #YouTubeBlack Voices Music Class… https://t.co/zOachltn17",2021-10-22 00:27:39+08:00,29,129
Extremely honoured to be part of the #YoutubeBlack Voices Music Class along with 21 other incredible songwriters an… https://t.co/E77rTGzJFn,2021-10-22 00:14:16+08:00,51,122
I’m so excited to be part of the #YouTubeBlack Voices Music Class along with 31 other incredible artists. Check out… https://t.co/8se9aZSGtx,2021-10-22 00:00:28+08:00,86,539
My dad grew up in and around Shepherd’s Bush which has drastically changed over the years.. so I thought I’d surpri… https://t.co/20B09YjcBB,2021-10-30 18:42:26+08:00,13,97
THANK YOU @youtubemusic https://t.co/6P5RCgc0VE,2021-10-30 05:26:13+08:00,16,159
"Queen of Vibes on Billboard’s in New York City Times Square &amp; Los Angeles 🇺🇸 

African Music to the the world 🌍Stre… https://t.co/h5OUwX337g",2021-10-23 14:56:43+08:00,465,2015
𝐴𝑓𝑟𝑖𝑐𝑎’𝑠 𝐵𝑜𝑦𝑓𝑟𝑖𝑒𝑛𝑑 on billboards in NY &amp; LA! 🇺🇸 Much luv @youtubemusic! 💜✨ #YouTubeBlack https://t.co/Q7KuZfAADi https://t.co/WA0oh5gd9H,2021-10-23 00:19:09+08:00,266,1177
💙💫 thank you @youtubemusic https://t.co/h2vitMibsF,2021-10-23 00:42:46+08:00,106,987
"So many firsts this year, I’m speechless. This Scarborough girl large and direct in NEW YORK CITY, LA and more. If… https://t.co/xfVGtdBqke",2021-10-23 07:22:33+08:00,51,208
"Now in HD for the first time!
Check out these classic 
Cinderella videos from the 
Heartbreak💔Station album... 
Hea… https://t.co/wdrHZxeVG7",2021-10-23 01:12:13+08:00,49,319
thank you @youtubemusic for making one of my childhood dreams come true along with so many incredible artists :) go… https://t.co/Esm3tYHOyF,2021-10-23 00:47:11+08:00,56,452
Thanks to @youtubemusic for celebrating Black voices. #YouTubeBlack → https://t.co/KBQVv3K6X9 https://t.co/yNr5GejAlp,2021-10-22 23:42:22+08:00,58,161
"Congratulations @Sheniececharway (Artist Relations Manager, @youtubemusic) on being awarded the 2021 Music Week Wom… https://t.co/SOcYNm26B0",2021-10-22 22:53:53+08:00,48,133
Buenos días 🖤 Gracias por el cariño a #1940Carmen ¡ya disponible en @youtubemusic https://t.co/r9BoeDKSVe https://t.co/VFRd0UALDA,2021-10-31 00:06:13+08:00,78,666
Thank you @youtubemusic ❤️ https://t.co/jTT09OE45v,2021-10-30 23:23:17+08:00,76,451
Y’all I got another Billboard!!! In the hometownnnn ATLLLLLLL Roght above Park Bar across from centennial park!!… https://t.co/a54M1wAsQF,2021-10-31 05:02:50+08:00,18,163
"#GhaniAnthem Hits 𝟯 𝗠𝗶𝗹𝗹𝗶𝗼𝗻+ Views &amp; 𝟏𝟎𝟎𝐊+ Likes  🔥🥊

Trending on @youtubemusic 🌟

A @MusicThaman Musical 🎹
▶️… https://t.co/oQgS04hVUp",2021-10-30 15:46:00+08:00,55,576
✨ Si les encanta el #ASMR entonces no se pueden perder lo nuevo de @LeonLeidenMusic y @Bruses_ desde #HashtagHits d… https://t.co/7nGSH1tFTw,2021-11-01 02:00:00+08:00,9,34
"Thank you to @spotify, @amazonmusic, @applemusic and @youtubemusic for all the “Golden Days” love! https://t.co/Sa4hfdVW8v",2021-11-01 02:12:03+08:00,12,100
"🇵🇪 En el #DíaDeLaCanciónCriolla, celebra a sus principales músicos e intérpretes en @youtubemusic:

🎵 Óscar Avilés… https://t.co/qA3jcsDirg",2021-10-31 22:30:02+08:00,7,26
