tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
".@tonyhawk's Pro Skater 1 + 2 is out now. He discusses the updates, nostalgia, and music on #AfterSchoolRadio with… https://t.co/5NFeVF8vYl",2020-09-09 02:04:31+08:00,22,152,['AfterSchoolRadio'],no_media,['tonyhawk'],True,False
"Eclectic selections, uncompromising opinions, and pop culture news straight from Nashville.

@nadameansnothin focus… https://t.co/ZoYjRbgzPU",2020-09-09 01:20:55+08:00,9,110,[],no_media,['nadameansnothin'],True,False
".@dayglowband leads #ALTCTRL with #CanICallYouTonight.

Listen here: https://t.co/QGQn2wldnq https://t.co/HK6zi60aKU",2020-09-09 00:31:23+08:00,5,125,['ALTCTRL'],video,['dayglowband'],True,False
".@disclosure share a hand-picked playlist of songs with @zanelowe, including their favorite track by #DaftPunk.… https://t.co/JwRJYuTIr3",2020-09-08 07:28:59+08:00,20,196,['DaftPunk'],no_media,['disclosure'],True,False
"The best bars, beats and hooks of the last three decades are on Hip-Hop/R&amp;B Throwback Radio.

Go on a musical journ… https://t.co/ZdJjXTGJU6",2020-09-08 03:50:53+08:00,16,124,[],no_media,[],True,False
“I think the thread of continuity that always piques my interest with music is the soulfulness or the place from wh… https://t.co/zuzT9SZKjP,2020-09-08 02:00:00+08:00,28,207,[],no_media,[],True,False
"“I wanted to bring out the old De La Ghetto, but with the new vibe.”

Get into @DeLaGhettoReal’s #LosChulitos. His… https://t.co/9ZL67fHA4A",2020-09-08 00:15:40+08:00,18,167,['LosChulitos'],no_media,['DeLaGhettoReal'],True,False
“#Heather is the song on the album that I always cry to. I think it’s the most honest recount of my love life at th… https://t.co/Pv8g2CvvXs,2020-09-07 23:14:36+08:00,24,247,['Heather'],no_media,[],True,False
"Journalist, broadcaster and roots music expert @kellymccartneyx brings you the stripped-back, forward-thinking song… https://t.co/FYdK6sgvSu",2020-09-07 09:36:52+08:00,15,122,[],no_media,['kellymccartneyx'],True,False
".@JamesTaylor_com goes deep into his prolific career and catalog with @zanelowe.

Listen to his #Essentials now:… https://t.co/mB4NZi1OQ2",2020-09-07 06:00:56+08:00,27,153,['Essentials'],no_media,['JamesTaylor_com'],True,False
"From an underground party to a global movement.

@SHABBAAAAASOUND spins a unique selection of tracks that capture t… https://t.co/ywmCUASH1N",2020-09-07 03:55:09+08:00,10,109,[],no_media,[],True,False
"Made for you with love. ❤️

Listen to #MoreLove, Songs from Apple TV+'s #LittleVoice Season One from @SaraBareilles… https://t.co/xUf46n0DOd",2020-09-07 01:50:51+08:00,41,300,['MoreLove'],no_media,['SaraBareilles'],True,False
"Catch up on the latest from Apple Music radio.

@ladygaga chats with #1000Doves collaborator @iamTchami,… https://t.co/55SqzdJM1U",2020-09-07 01:29:50+08:00,12,116,['1000Doves'],no_media,['ladygaga'],True,False
".@vampireweekend’s @arzE digs into politics and pop culture headlines on #TIMECRISIS.

Listen every two weeks on Ap… https://t.co/7CwV62FDkv",2020-09-07 00:49:06+08:00,15,226,['TIMECRISIS'],no_media,['vampireweekend'],True,False
"“When I went to cut the song, I said, ‘We have to get @JonPardi.’ I knew that he would really sell the song.”

List… https://t.co/6yl9kKfiLH",2020-09-06 22:49:59+08:00,16,139,[],no_media,['JonPardi'],True,False
