tweet_text,created_at,retweet_count,favorite_count
catch our interview with @HanumanWelch on #ALTCTRL Radio on @AppleMusic today at 5pm PT: https://t.co/BrML7jj7WY https://t.co/otf1d3RXoD,2021-10-06 06:24:11+08:00,67,1006
made an @AppleMusic playlist to play in the venues before the live show… so if you like the vibes… here it is! https://t.co/q8Rn8SDCkY,2021-10-06 01:23:33+08:00,28,199
"An endless war, a hollow cause.. Have you listened to our new single, “The Phalanx”? Stream it now on @AppleMusic:… https://t.co/sclfoNX5Et",2021-10-06 06:58:12+08:00,28,309
today’s #AtHomeWithAppleMusic with @alessiacara is a special one. coming up in one hour on @applemusic… https://t.co/zCHFm9B9Xx,2021-10-06 00:08:04+08:00,20,177
"Step into the sound of 'Barsaat’ by Armaan Malik with #DolbyAtmos on @AppleMusic.

Listen now,… https://t.co/wtnXryZcCm",2021-10-05 19:30:04+08:00,123,542
"#VaruduKaavalenu ~ #Vaddaanam song now streaming! 🥳🕺💃

@spotifyindia►https://t.co/vxnIOo0VeA
@AmazonMusicIN►… https://t.co/VTBAWBGIbk",2021-10-05 16:54:24+08:00,84,846
Don’t forget to pre-add #LoveForSale with @ladygaga on @AppleMusic: https://t.co/tsMec0nBed https://t.co/V2iaaclz32,2021-09-30 01:00:50+08:00,253,1255
.@zanelowe is a masterful communicator and a very special man. This might be my favorite interview I’ve ever done.… https://t.co/6taUY6JaMK,2021-09-29 05:57:13+08:00,49,605
Check out @Grip_SS choppin it up with @oldmanebro on @AppleMusic! https://t.co/mSJBlTbskL https://t.co/llJjntdLl4,2021-09-29 04:23:53+08:00,31,261
Thank you @AppleMusic  for adding #SomeHabits to the Today’s Country Playlist 🙌🏻 https://t.co/KME7uAN7sm https://t.co/iWBr7wXhRs,2021-09-29 03:35:41+08:00,21,190
Today’s Discovered on @AppleMusic artist is New Jersey’s @KAM_DELA and his track “Summer?” from his latest EP Food… https://t.co/Lrpu65DlaB,2021-09-29 03:29:30+08:00,31,59
"Today’s Discovered on @AppleMusic artist is South Africa’s @jodakgosi with her track “I Miss You.”

Lock in now to… https://t.co/Hgs08wKgpd",2021-10-07 03:50:43+08:00,88,296
"See @Metallica talk 40th anniversary, new music and more in these exclusive clips from their wide-ranging interview… https://t.co/xXbisBA3JZ",2021-10-06 23:00:32+08:00,20,115
Para que tengas la mejor actitud este día solo necesitas escuchar #SiTúVuelas (@alokoficial Remix) de @issam &amp;… https://t.co/ykcxq0nCIe,2021-10-06 21:58:52+08:00,33,113
"استمعوا لأغنية #الحلزونة من خلال Apple Music الآن:
https://t.co/Ts4icMJkSg

#Platinum_Records 
#بلاتينوم_ريكوردز… https://t.co/83atBW9Y5v",2021-10-06 17:05:39+08:00,26,126
you can now listen to our interview with @HanumanWelch on demand on the latest episode of #ALTCTRL Radio on… https://t.co/K530VvXVoo,2021-10-06 10:51:39+08:00,56,1026
"‘Finish Line’ with Stevie Wonder is out now🧡

Listen to me talk to producer and co-host @thisiswatt about the singl… https://t.co/ykO5I1J2CU",2021-09-30 20:23:14+08:00,80,531
Thru October we will be celebrating #IMAGINE50 by diving into some of the rarer mixes from Imagine - The Ultimate C… https://t.co/6iS0eLQ715,2021-10-01 00:00:26+08:00,103,682
.@wallowsmusic coming up on the show with I Don’t Want To Talk in just a few minutes. tap in @AppleMusic https://t.co/hQdBHLWypD,2021-09-30 23:56:34+08:00,110,1014
"Listen to #Chatrapathi full album on
@spotifyindia►https://t.co/1mt0GbBojG
@AmazonMusicIN►https://t.co/CssgaCMbT1… https://t.co/v6PGHwroBl",2021-09-30 18:54:39+08:00,16,45
Have you heard the third @KNTXTmusic Residency Mix on @AppleMusic?! 🦥🔥 https://t.co/Dj589baewz,2021-09-30 16:16:19+08:00,17,115
We made another playlist!!!! 😩😩😩🙌🙌 Thank you @AppleMusic for adding #IWKWIL on New In Pop!!! Check it out!!! https://t.co/Kvs5GHxmz9,2021-09-30 02:40:28+08:00,30,265
"You can pre order ¶STRANGE DESIRE¶ on @AppleMusic NOW! 

https://t.co/xQVnewmhMC",2021-10-08 21:43:36+08:00,32,201
Hırka @AppleMusic 'te 💫 https://t.co/4RPabzOarB,2021-10-08 16:18:36+08:00,17,311
The full “The Light” Album by @bgyo_ph is OUT NOW on @iTunes and @AppleMusic 🔗 https://t.co/eCu7yPg4Hv… https://t.co/G6m331twvn,2021-10-08 00:23:22+08:00,125,237
"Gente, #SUBIDA entrou pra playlist Rimas Brasileiras, do @applemusic, ao lado de muita gente legal e que eu adoro o… https://t.co/SvlxN1KEV2",2021-10-08 07:07:28+08:00,17,323
"Check out “I Don’t Mind” from the new self-titled album, on @AppleMusic’s Lindsey Buckingham Essentials playlist he… https://t.co/TdO279ftVS",2021-10-08 07:31:38+08:00,36,307
Big thanks to @applemusic for adding RWDWY to ‘Living Room Dance Party’! All you apple heads go stream it like craz… https://t.co/Q2x2gXfrz5,2021-10-08 00:18:44+08:00,16,222
