friends_screen_name,created_at,friends_count,followers_count,tweet_count
TheMandyMoore,2009-02-25 01:39:42+08:00,796,2322132,5908
9thwonder,2008-09-20 06:25:27+08:00,1020,424234,1332
UMGNashville,2010-01-07 03:11:40+08:00,192,42678,9705
LewisCapaldi,2011-09-09 03:36:14+08:00,301,1387316,36626
Korn,2007-05-22 03:42:24+08:00,199548,1345577,3047
damianmarley,2011-02-02 01:05:33+08:00,94,543605,2389
stephenmarley,2010-10-16 08:15:22+08:00,165,338102,10303
IngridAndress,2011-02-21 02:49:24+08:00,218,16884,3221
BrooksAndDunn,2008-05-30 01:36:19+08:00,37,172661,1107
MorganWallen,2011-11-07 10:02:28+08:00,1422,521728,7272
DonToliver,2011-07-04 16:46:59+08:00,112,336853,14178
bigfreedia,2009-06-23 17:20:07+08:00,12057,82334,7264
wizkidayo,2009-04-18 07:32:29+08:00,1437,8794210,53631
LondonOnDaTrack,2010-02-24 15:15:57+08:00,212,171216,6552
RickRubin,2012-01-02 07:03:16+08:00,0,141181,2
djcarnage,2009-01-14 23:52:49+08:00,1905,282693,89013
Trinidadjamesgg,2009-11-13 09:26:16+08:00,1788,339746,80251
Jacquees,2009-08-23 14:15:23+08:00,111,634639,41183
NBA,2009-02-03 03:04:42+08:00,1888,34611680,284890
lindsayell,2009-02-26 11:28:44+08:00,540,120229,47059
TTChilders,2011-09-15 11:44:59+08:00,354,145962,2551
garthbrooks,2013-04-09 02:22:50+08:00,34,653146,3957
JoellOrtiz,2008-07-06 07:21:25+08:00,613,295654,22868
TooShort,2008-10-09 07:35:52+08:00,1433,385306,3999
thursdayband,2008-06-14 00:09:47+08:00,794,28810,4927
robinthicke,2007-05-23 09:47:53+08:00,129,1009601,5253
thebeaches,2012-07-19 07:33:45+08:00,228,11413,10977
thepharcyde,2009-04-25 09:46:44+08:00,693,25793,28776
soundgarden,2010-01-05 07:37:20+08:00,2,434198,1741
thegame,2009-04-05 07:37:19+08:00,25651,1125782,29201
mobbdeephavoc,2009-05-07 13:58:30+08:00,12,43617,467
weareplatoon,2016-09-29 17:19:07+08:00,243,4616,1330
ygofficialblink,2017-06-23 18:53:32+08:00,9,7437939,1914
Papooseonline,2009-01-13 01:52:45+08:00,2436,182647,14819
MasterPMiller,2010-02-08 03:00:10+08:00,483,190523,2809
madlib,2009-02-18 06:31:52+08:00,25,230489,441
bujubanton,2015-11-11 05:55:51+08:00,183,89219,920
iamstillpunch,2010-06-26 15:56:16+08:00,1523,237236,16143
kcamp,2009-04-21 13:24:54+08:00,138,277665,147912
RapperBigPooh,2008-12-04 11:55:46+08:00,897,73914,2494
SEEofficial,2019-09-04 09:40:44+08:00,22,19916,624
orvillepeck,2018-01-24 11:16:19+08:00,98,64462,1608
superm,2019-06-04 15:13:48+08:00,8,2987526,1206
TruthBeTold,2019-06-15 04:18:31+08:00,25,3691,168
dominicfike,2019-06-05 01:28:30+08:00,1,54043,79
RSprachrohr,2010-08-02 20:28:16+08:00,0,465876,170
AshleyMcBryde,2009-09-24 02:00:00+08:00,1075,68151,11890
Ladynicolewray,2012-10-23 05:51:53+08:00,471,6855,1900
kelleighbannen,2008-10-24 04:21:59+08:00,1034,19357,18335
OfficialALW,2009-04-09 21:39:46+08:00,178,215934,5210
badhop_official,2014-03-12 22:35:03+08:00,4,89473,1924
