tweet_content,created_at,retweet_count,favorite_count,hashtags,media_type,user_mention,urls,quote_retweet_status
We're heading to #Infinity with @NickyJamPR 🚀 https://t.co/AvY5s9V1iw https://t.co/AYT0UZizld,2021-08-28 08:04:31+08:00,15,290,['Infinity'],photo,['NickyJamPR'],True,False
Sloane is a confirmed ✨Arianator✨ https://t.co/5i5wMMOaxB,2021-08-28 07:25:14+08:00,12,299,[],no_media,[],True,True
@PearlJam Volume all the way up 🎚,2021-08-28 05:54:25+08:00,1,15,[],no_media,['PearlJam'],False,False
What's new? Hit 🔔 to find out... https://t.co/GQxpdUUmHI,2021-08-28 04:15:15+08:00,44,600,[],video,[],False,False
"RT @SpotifyUSA: It's Friday again 🕺 
Time to start your weekend off with some of the latest releases 👇

@KaceyMusgraves is more than just a…",2021-08-28 04:07:06+08:00,27,0,[],no_media,['SpotifyUSA'],False,False
@wizkidayo 💚💚💚 https://t.co/C75SVIt4Gg,2021-08-28 01:27:42+08:00,460,987,[],no_media,['wizkidayo'],True,False
.@wizkidayo just gave us more of the album we can't get enough of. The Deluxe edition of #MadeInLagos is here… https://t.co/AwH4g1H36R,2021-08-28 01:26:03+08:00,2324,8539,['MadeInLagos'],no_media,['wizkidayo'],True,False
J Team assemble! 🎀 The soundtrack to @itsjojosiwa's new film #TheJTeam is here https://t.co/P51uYTX0x0 https://t.co/pahLAvAl6j,2021-08-27 23:28:46+08:00,51,524,['TheJTeam'],video,['itsjojosiwa'],True,False
25 years of two dope boys in a Cadillac. Happy 25th anniversary to @OutKast’s southern fried classic ATLiens 👽 https://t.co/ukrmR8TK6U,2021-08-27 22:29:22+08:00,172,1007,[],photo,['Outkast'],False,False
Show some love for #LilTecca ❤️ His latest album We Love You Tecca 2 is here https://t.co/J15tnJh540 https://t.co/UopY4PY22T,2021-08-27 12:04:07+08:00,31,362,['LilTecca'],photo,[],True,False
She’s bringing Houston to Seoul ✈️ @theestallion joins @bts_twt for #ButterTheeRemix. #ARMYHotties your time has co… https://t.co/khk1PrgKWf,2021-08-27 12:02:42+08:00,96862,423807,['ButterTheeRemix'],no_media,['theestallion'],True,False
"The battle between love and power takes center stage on #Halsey's If I Can’t Have Love, I Want Power 🥀 #iichliwp… https://t.co/kxPXLB9HoX",2021-08-27 12:00:17+08:00,693,4396,['Halsey'],no_media,[],True,False
2 artists are on the cover of #TodaysTopHits this week...can you guess who?,2021-08-27 08:58:28+08:00,633,5953,['TodaysTopHits'],no_media,[],False,False
We're on #Cloud19 now that @Kehlani's debut mixtape is streaming on Spotify ☁️ https://t.co/CzzpFF7EKx https://t.co/vXloij6yvB,2021-08-27 04:54:25+08:00,264,1972,['Cloud19'],photo,['Kehlani'],True,False
"RT @spotifypodcasts: The tea is overflowing with these hot vacation stories 🥵

1. Iconic Vegas Trip @prettybasic 
2. Fourth of July in the…",2021-08-27 04:32:13+08:00,22,0,[],no_media,['spotifypodcasts'],False,False
