tweet_text,created_at,retweet_count,favorite_count
"#BGYO : 'When I'm With You' Concept Photo Series

Pre-save on @Spotify
https://t.co/z9bHq1kfze

@BGYO_Mikki… https://t.co/GgMoIs3w6o",2021-10-02 11:00:00+08:00,1049,2804
Morning. What a horrible week it’s been. Here’s to a better one ahead. New U.K. tour support  @Spotify playlist up.… https://t.co/hZkfV9ssgD,2021-10-02 16:43:17+08:00,18,155
"@bgyo_ph @Spotify @BGYO_Mikki @OFCBGYO_MEMBERS @StarMusicPH @youmeusmnl From the outfit, the background, the photo… https://t.co/aVsEanpQG7",2021-10-02 12:46:54+08:00,58,152
@bgyo_ph @Spotify @BGYO_Mikki @OFCBGYO_MEMBERS @StarMusicPH @youmeusmnl BGYO full album in 5 days. Time flies. 🍃… https://t.co/nRgJ8oiGOb,2021-10-02 12:57:35+08:00,45,116
"@bgyo_ph @Spotify @BGYO_Gelo @OFCBGYO_MEMBERS @StarMusicPH @youmeusmnl Kapitan Geloooo, teka lang naman 😭💕 

A litt… https://t.co/RGUEqMNvI1",2021-10-02 12:23:58+08:00,40,120
"@bgyo_ph @Spotify @BGYO_Mikki @OFCBGYO_MEMBERS @StarMusicPH @youmeusmnl This fit though. Looking sooooo fine, Mikki… https://t.co/SRyAkqFMXT",2021-10-02 12:23:32+08:00,55,133
.@spotify 💎💎💎💎 https://t.co/IdgcsC5BWL,2021-10-02 07:08:57+08:00,504,4567
@bgyo_ph @Spotify @BGYO_Mikki @OFCBGYO_MEMBERS @StarMusicPH @youmeusmnl Grabe naman 'yan Mikki!! Fast-forward to Oc… https://t.co/sqIUTVCUj9,2021-10-02 12:23:02+08:00,41,94
"Bienvenidos a la Resistencia, @Spotify. Buscad 'La Casa de Papel' y encontraréis una 🎁.

Welcome to the Resistance,… https://t.co/gE0vkPiTW2",2021-10-01 23:43:47+08:00,265,2604
"""The Beachland Ballroom"" is the first single from our fourth album ""CRAWLER"" 

Listen now on @SpotifyUK @Spotify… https://t.co/4xUhIu4CZo",2021-09-29 02:06:15+08:00,83,683
Thanks @Spotify 💕 #NattiVidad en todos lados 👑 ¿Ya escucharon el álbum? Continúa escuchándolo:… https://t.co/k6TNuDLhlA,2021-09-26 00:25:32+08:00,93,951
Thank you so much @Spotify @CountryMusic @CMT FOR ADDING “Drinking to the Broken Hearts” to your playlist !!!! I am… https://t.co/j9AsQoeGcY,2021-09-26 00:00:15+08:00,18,70
"Hear our new single ""Roots Below"" on @Spotify's biggest Metal playlist!
https://t.co/7bTEb08vlx

#AsILayDying… https://t.co/PGo7A9luqa",2021-09-26 00:00:01+08:00,34,184
[NOW PLAYING] @bts_bighit - Butter 🎶 Join the party with our official #GlobalCitizenLive  @Spotify playlist 🎧 Don't… https://t.co/e9i8GSMgFu,2021-09-25 21:15:11+08:00,1230,2635
Get ready with us! Follow this thread to find out what we're jamming to ahead of #GlobalCitizenLive and join the pa… https://t.co/cThtG9igrC,2021-09-25 21:10:58+08:00,49,187
"1/ Spotify is cooking up even more ways to pay artists less — while charging them more. Now, @Spotify wants artists… https://t.co/5vBQMVz8Tc",2021-09-25 21:06:15+08:00,16,26
"Discover Fazıl Say’s “Turkish Composers Series”
Türk bestecilerini keşfedelim.
6 Albüm 106 Eser.
@spotify… https://t.co/MTDJoAFxCI",2021-09-25 15:15:25+08:00,21,237
"MYX News Hot List: New Music by @MissMarisRacal, @SB19Official Ken &amp; @manilagrey,  @HERMusicx @lightsonfest ft.… https://t.co/RylwCovu8V",2021-09-25 10:00:12+08:00,203,446
"New music? Great.
New music from @giveon, @NattiNatasha, @maluma &amp; more? EVEN BETTER.

Listen and subscribe to my… https://t.co/9LU8jVSkYw",2021-09-25 09:43:01+08:00,32,415
#NattiVidad terminamos el día haciendo un maratón del disco en @Spotify 🔥👑 Let’s go https://t.co/YT9IVGakAT,2021-10-04 08:40:05+08:00,54,803
"A partir de este domingo, y durante toda la semana, tendremos un episodio DIARIO de #UPDC.

Entrevistaremos a quien… https://t.co/gDhDK7DO0f",2021-10-04 07:03:59+08:00,17,59
"#BINI : 🚨BINI ALBUM - FULL TRACKLIST 🚨 

You waited for this! We’re getting 6 new tracks from BINI on their “Born T… https://t.co/yiEvbgYu5t",2021-10-03 20:01:00+08:00,752,1913
💔 @spotify guysssss https://t.co/rAEqHUFuRY https://t.co/yJMpFz1gng,2021-10-04 05:18:01+08:00,180,1341
"YOU WAITED FOR THIS! BLOOMs, here’s the FULL ALBUM TRACKLIST of @BINI_ph’s debut album that drops on October 14!… https://t.co/EkhIHmw8km",2021-10-03 20:05:29+08:00,136,349
"#BGYO : 'When I'm With You' Concept Photo Series

Pre-save on @Spotify
https://t.co/z9bHq1kfze

@BGYO_Akira… https://t.co/P8WnDePEv7",2021-10-03 11:00:01+08:00,1083,2830
"Here is the collateral damage caused by ten years of micro-penny payments from @Spotify:
“If you’ve got children an… https://t.co/l0ceb5XjGI",2021-10-03 22:35:22+08:00,23,37
"Happy 85th birthday, @SteveReich!

You can hear a playlist of his complete Nonesuch recordings—36 years in the maki… https://t.co/QcQvvC3ZUW",2021-10-03 20:01:32+08:00,31,109
